;--w*w*w.g*m*0*0*5.c*o*m---　
;固定 NPC 文件
;名称	      	代码	地图    x    y	 范围	图标
;比奇国王           1     0122  29    32    0     8
比奇国王	1	3	320	337	0	8
管理人员           2     0150  7     16    0     8
恶魔树             0     4     265   247   0     36
恶魔树             0     4     267   249   0     36
恶魔树             0     4     269   251   0     36
恶魔树             0     4     271   253   0     36
恶魔树             0     4     273   255   0     36
恶魔树             0     4     275   257   0     36
恶魔树             0     4     277   259   0     36
恶魔树             0     4     279   261   0     36
恶魔树             0     4     281   263   0     36
恶魔树             0     4     283   265   0     36
恶魔树             0     4     259   253   0     36
恶魔树             0     4     261   255   0     36
恶魔树             0     4     263   257   0     36
恶魔树             0     4     265   259   0     36
恶魔树             0     4     267   261   0     36
恶魔树             0     4     269   263   0     36
恶魔树             0     4     271   265   0     36
恶魔树             0     4     273   267   0     36
恶魔树             0     4     275   269   0     36
恶魔树             0     4     277   271   0     36
恶魔守卫           0     4     216   202   0     36
恶魔守卫           0     4     214   204   0     36
恶魔守卫           0     4     213   205   0     36
恶魔守卫           0     4     223   195   0     36
恶魔守卫           0     4     224   194   0     36
恶魔守卫           0     4     225   193   0     36
恶魔守卫           0     4     226   192   0     36
白日门来使         0     D701  103   156   0     15
老人               0     1     51    33    0     1
白日门勇士         0     1     54    165   0     15
武馆教头           0     0137  21    11    0     15 
监狱长             0     0162  10     8    0     8
