[2018-1-25 21:22:39] 已读取 2个行会信息...
[2018-1-25 21:22:39] 已经读取 1 个城堡信息.
[2018-1-25 21:22:46] 登录服务器(127.0.0.1:5601)连接成功
[2018-1-25 21:22:46] 游戏网关[0](127.0.0.1:1125) 已打开...
[2018-1-25 21:22:49] 数据库服务器(127.0.0.1:6001)连接成功
[2018-1-25 21:27:56] 重新加载物品数据库完成...
[2018-1-25 21:32:33] 在线人数: 1
[2018-1-25 21:42:33] 在线人数: 1
[2018-1-25 21:52:33] 在线人数: 1
[2018-1-25 22:02:33] 在线人数: 1
[2018-1-25 22:12:33] 在线人数: 0
[2018-1-25 22:22:33] 在线人数: 0
[2018-1-25 22:32:33] 在线人数: 0
[2018-1-25 22:42:33] 在线人数: 0
[2018-1-25 22:52:33] 在线人数: 0
[2018-1-25 23:02:33] 在线人数: 0
[2018-1-25 23:12:33] 在线人数: 0
[2018-1-25 23:22:00] 重新加载物品数据库完成...
[2018-1-25 23:22:13] [制造物品] 和尚 至尊指环(1073744819)
[2018-1-25 23:22:33] 在线人数: 1
[2018-1-25 23:32:33] 在线人数: 0
[2018-1-25 23:42:33] 在线人数: 0
[2018-1-25 23:52:33] 在线人数: 0
[2018-1-26 0:02:33] 在线人数: 0
[2018-1-26 0:12:33] 在线人数: 0
[2018-1-26 0:22:33] 在线人数: 0
[2018-1-26 0:32:33] 在线人数: 0
[2018-1-26 0:42:33] 在线人数: 0
[2018-1-26 0:52:33] 在线人数: 0
[2018-1-26 1:02:33] 在线人数: 0
[2018-1-26 1:12:33] 在线人数: 0
[2018-1-26 1:22:33] 在线人数: 0
[2018-1-26 1:32:33] 在线人数: 0
[2018-1-26 1:42:33] 在线人数: 0
[2018-1-26 1:52:33] 在线人数: 0
[2018-1-26 2:02:33] 在线人数: 0
[2018-1-26 2:12:33] 在线人数: 0
[2018-1-26 2:22:33] 在线人数: 0
[2018-1-26 2:32:33] 在线人数: 0
[2018-1-26 2:42:33] 在线人数: 0
[2018-1-26 2:52:33] 在线人数: 0
[2018-1-26 3:02:33] 在线人数: 0
[2018-1-26 3:12:33] 在线人数: 0
[2018-1-26 3:22:33] 在线人数: 0
[2018-1-26 3:32:33] 在线人数: 0
[2018-1-26 3:42:33] 在线人数: 0
[2018-1-26 3:52:33] 在线人数: 0
[2018-1-26 4:02:33] 在线人数: 0
[2018-1-26 4:12:33] 在线人数: 0
[2018-1-26 4:22:33] 在线人数: 0
[2018-1-26 4:32:33] 在线人数: 0
[2018-1-26 4:42:33] 在线人数: 0
[2018-1-26 4:52:33] 在线人数: 0
[2018-1-26 5:02:33] 在线人数: 0
[2018-1-26 5:12:33] 在线人数: 0
[2018-1-26 5:22:33] 在线人数: 0
[2018-1-26 5:32:33] 在线人数: 0
[2018-1-26 5:42:33] 在线人数: 0
[2018-1-26 5:52:33] 在线人数: 0
[2018-1-26 6:02:33] 在线人数: 0
[2018-1-26 6:12:33] 在线人数: 0
[2018-1-26 6:22:33] 在线人数: 0
[2018-1-26 6:32:33] 在线人数: 0
[2018-1-26 6:42:33] 在线人数: 0
[2018-1-26 6:52:33] 在线人数: 0
[2018-1-26 7:02:33] 在线人数: 0
[2018-1-26 7:12:34] 在线人数: 0
[2018-1-26 7:22:34] 在线人数: 0
[2018-1-26 7:32:34] 在线人数: 0
[2018-1-26 7:42:34] 在线人数: 0
[2018-1-26 7:52:34] 在线人数: 0
[2018-1-26 8:02:34] 在线人数: 0
[2018-1-26 8:12:34] 在线人数: 0
[2018-1-26 8:22:34] 在线人数: 0
[2018-1-26 8:32:34] 在线人数: 0
[2018-1-26 8:42:34] 在线人数: 0
[2018-1-26 8:52:34] 在线人数: 0
[2018-1-26 9:02:34] 在线人数: 0
[2018-1-26 9:12:34] 在线人数: 0
[2018-1-26 9:22:34] 在线人数: 0
[2018-1-26 9:32:34] 在线人数: 0
[2018-1-26 9:42:34] 在线人数: 0
[2018-1-26 9:52:34] 在线人数: 0
[2018-1-26 10:02:34] 在线人数: 0
[2018-1-26 10:12:34] 在线人数: 0
[2018-1-26 10:22:34] 在线人数: 0
[2018-1-26 10:32:34] 在线人数: 0
[2018-1-26 10:42:34] 在线人数: 0
[2018-1-26 10:52:34] 在线人数: 0
[2018-1-26 11:02:34] 在线人数: 0
[2018-1-26 11:12:34] 在线人数: 0
[2018-1-26 11:22:34] 在线人数: 0
[2018-1-26 11:32:34] 在线人数: 0
[2018-1-26 11:42:34] 在线人数: 0
[2018-1-26 11:52:34] 在线人数: 1
